Seller,offerType,Price,vehicleType,Registration_Year,gearbox,HorsePower,kilometer,fuelType,NotRepairedDamaged,RiskLevel
Private,Customer Offer,950,Limousine,1995,Manual,75,150000,Gasoline,Unknown,High
Private,Customer Offer,1500,Compact Car,2001,Manual,58,150000,Unknown,No,Medium
Private,Customer Offer,3999,Bus,2007,Manual,136,150000,Diesel,No,Medium
Private,Customer Offer,2250,Station Wagon,2003,Manual,150,150000,Diesel,No,Medium
Private,Customer Offer,3150,Limousine,2004,Manual,82,100000,Gasoline,No,Medium
Private,Customer Offer,4500,Convertible,2000,Unknown,140,125000,Unknown,Unknown,High
Private,Customer Offer,10990,Coupe,2000,Manual,231,70000,Gasoline,No,High
Private,Customer Offer,1300,Compact Car,1999,Manual,101,150000,Gasoline,Yes,High
Private,Customer Offer,4500,Coupe,1994,Manual,200,150000,Gasoline,Unknown,High
Private,Customer Offer,6000,Limousine,2005,Manual,129,150000,Gasoline,No,Medium
Private,Customer Offer,1750,Limousine,1997,Automatic,75,60000,Gasoline,No,High
Private,Customer Offer,999,Unknown,2018,Manual,75,150000,Gasoline,No,Low
Private,Customer Offer,10500,Convertible,2005,Manual,163,90000,Gasoline,No,Medium
Private,Customer Offer,3750,Limousine,2001,Automatic,224,150000,Gasoline,No,Medium
Private,Customer Offer,1800,Limousine,1995,Manual,125,150000,Gasoline,Unknown,High
Private,Customer Offer,1580,Station Wagon,1997,Manual,101,150000,Gasoline,No,High
Private,Customer Offer,1250,Unknown,2016,Manual,192,150000,Unknown,No,Low
Private,Customer Offer,4500,SUV,2000,Automatic,272,150000,LPG,No,High
Private,Customer Offer,2800,Station Wagon,2002,Manual,143,150000,Gasoline,No,Medium
Private,Customer Offer,9990,SUV,2006,Automatic,226,5000,Diesel,No,Medium
Private,Customer Offer,3750,Limousine,2006,Manual,131,150000,Diesel,No,Medium
Private,Customer Offer,3490,Limousine,2001,Automatic,170,150000,Gasoline,No,Medium
Private,Customer Offer,25900,SUV,2012,Automatic,258,150000,Diesel,No,Low
Private,Customer Offer,2500,Limousine,1996,Manual,125,150000,Gasoline,No,High
Private,Customer Offer,22000,Bus,2015,Manual,125,20000,Gasoline,No,Low
Private,Customer Offer,15999,Limousine,2011,Automatic,170,100000,Diesel,No,Low
Private,Customer Offer,22999,Convertible,2008,Automatic,177,60000,Diesel,No,Medium
Private,Customer Offer,3000,Unknown,2017,Manual,150,90000,Gasoline,No,Low
Private,Customer Offer,17999,Limousine,2011,Automatic,190,150000,Diesel,No,Low
Private,Customer Offer,999,Compact Car,2000,Manual,50,150000,Unknown,No,High
Private,Customer Offer,4200,Station Wagon,1998,Automatic,224,150000,LPG,No,High
Private,Customer Offer,5400,Station Wagon,2004,Automatic,163,90000,Gasoline,Yes,Medium
Private,Customer Offer,9499,Limousine,2007,Manual,140,150000,Diesel,No,Medium
Private,Customer Offer,32500,SUV,2009,Automatic,286,125000,Diesel,No,Medium
Private,Customer Offer,6500,Limousine,2005,Automatic,150,150000,Diesel,No,Medium
Private,Customer Offer,1500,Compact Car,1997,Manual,73,125000,Gasoline,No,High
Private,Customer Offer,12800,Coupe,2009,Manual,239,150000,Diesel,Yes,Medium
Private,Customer Offer,2250,Station Wagon,2002,Manual,75,150000,Gasoline,No,Medium
Private,Customer Offer,1600,Bus,1998,Automatic,174,150000,Gasoline,No,High
Private,Customer Offer,5200,Station Wagon,2005,Manual,177,150000,Diesel,No,Medium
Private,Customer Offer,10499,Station Wagon,2007,Automatic,177,150000,Diesel,No,Medium
Private,Customer Offer,8500,Limousine,2000,Automatic,286,150000,Gasoline,No,High
Private,Customer Offer,2300,Limousine,2000,Automatic,287,30000,Gasoline,No,High
Private,Customer Offer,17999,Limousine,2015,Manual,125,5000,Gasoline,No,Low
Private,Customer Offer,700,Unknown,2017,Manual,56,150000,Gasoline,Unknown,Low
Private,Customer Offer,9999,Limousine,2012,Manual,90,80000,Diesel,No,Low
Private,Customer Offer,4000,Limousine,2004,Manual,105,150000,Gasoline,No,Medium
Private,Customer Offer,27500,Station Wagon,2011,Automatic,265,125000,Diesel,No,Low
Private,Customer Offer,500,Limousine,1995,Manual,122,150000,Gasoline,No,High
Private,Customer Offer,4890,SUV,1990,Manual,141,150000,Gasoline,No,High
Private,Customer Offer,500,Unknown,2016,Manual,75,150000,Gasoline,Yes,Low
Private,Customer Offer,600,Compact Car,1999,Manual,60,150000,Gasoline,No,High
Private,Customer Offer,1050,Limousine,1998,Automatic,101,90000,Unknown,No,High
Private,Customer Offer,4500,Station Wagon,2001,Manual,179,125000,Diesel,No,Medium
Private,Customer Offer,3999,Station Wagon,2003,Manual,220,150000,Gasoline,No,Medium
